,return_temp,supply_temp,water_flow,power,room_temp
2018-05-01 00:00:00+00:00,48.23333333,,90,0.13,69.56666667
2018-05-01 00:30:00+00:00,47,,81.5,0.13,69.55
2018-05-01 01:00:00+00:00,48.9,,100,0.13,69.35
2018-05-01 01:30:00+00:00,48.15,,85.5,0.13,69.3
2018-05-01 02:00:00+00:00,46.2,,95.5,0.13,69.43333333
2018-05-01 02:30:00+00:00,48.5,,85.5,0.13,69.5
2018-05-01 03:00:00+00:00,45.85,,70,0.13,69.5
2018-05-01 03:30:00+00:00,49.95,,90,0.13,69.55
2018-05-01 04:00:00+00:00,46.9,,91.5,0.13,69.55
2018-05-01 04:30:00+00:00,49.45,,87.5,0.13,69.6
2018-05-01 05:00:00+00:00,49.9,,82,0.13,69.6
2018-05-01 05:30:00+00:00,47.2,,97.5,0.13,69.6
2018-05-01 06:00:00+00:00,47.85,,73,0.13,69.7
2018-05-01 06:30:00+00:00,48.7,,73,0.13,69.75
2018-05-01 07:00:00+00:00,46.7,,80,0.13,69.75
2018-05-01 07:30:00+00:00,46.65,,99.5,0.13,69.8
2018-05-01 08:00:00+00:00,46.65,,68.5,0.13,69.85
2018-05-01 08:30:00+00:00,47.7,,86,0.13,69.8
2018-05-01 09:00:00+00:00,48.95,,68,0.13,69.85
2018-05-01 09:30:00+00:00,50.75,,76,0.13,69.85
2018-05-01 10:00:00+00:00,52.35,,77.5,0.13,69.85
2018-05-01 10:30:00+00:00,51.15,,84.5,0.13,69.8
2018-05-01 11:00:00+00:00,51.5,,93,0.13,69.9
2018-05-01 11:30:00+00:00,52.3,,95,0.13,69.9
2018-05-01 12:00:00+00:00,53.15,,91.5,0.13,69.95
2018-05-01 12:30:00+00:00,52.9,,87,0.13,70.25
2018-05-01 13:00:00+00:00,54.45,,89,0.13,70.4
2018-05-01 13:30:00+00:00,54.3,,68,0.13,70.25
2018-05-01 14:00:00+00:00,53.95,,83.5,0.13,70.15
2018-05-01 14:30:00+00:00,54.85,,93.5,0.13,70.2
2018-05-01 15:00:00+00:00,53.95,,79.5,0.13,70.15
2018-05-01 15:30:00+00:00,54.4,,89.5,0.13,70.1
2018-05-01 16:00:00+00:00,53.55,,75.5,0.13,70.15
2018-05-01 16:30:00+00:00,53.2,,73,0.13,70
2018-05-01 17:00:00+00:00,51.8,,84,0.13,69.95
2018-05-01 17:30:00+00:00,54.5,,82.5,0.13,69.9
2018-05-01 18:00:00+00:00,54.45,,95.5,0.13,70
2018-05-01 18:30:00+00:00,50.95,,70,0.13,69.65
2018-05-01 19:00:00+00:00,52.15,,95,0.13,69.6
2018-05-01 19:30:00+00:00,51.2,,81,0.13,69.75
2018-05-01 20:00:00+00:00,52,,100,0.13,69.75
2018-05-01 20:30:00+00:00,51.55,,99,0.13,69.65
2018-05-01 21:00:00+00:00,51,,92.5,0.13,69.7
2018-05-01 21:30:00+00:00,50.55,,89,0.13,69.7
2018-05-01 22:00:00+00:00,49.75,,84.5,0.13,69.65
2018-05-01 22:30:00+00:00,49.6,,85,0.13,69.7
2018-05-01 23:00:00+00:00,48.9,,81,0.13,69.7
2018-05-01 23:30:00+00:00,48.8,,74.5,0.13,69.75
2018-05-02 00:00:00+00:00,48.45,,75.5,0.13,69.7
2018-05-02 00:30:00+00:00,48.1,,79,0.13,69.8
2018-05-02 01:00:00+00:00,46.5,,107,0.13,69.7
2018-05-02 01:30:00+00:00,46.4,,66.5,0.13,69.7
2018-05-02 02:00:00+00:00,46.6,,71.5,0.13,69.66666667
2018-05-02 02:30:00+00:00,48.9,,83.5,0.13,69.5
2018-05-02 03:00:00+00:00,48.15,,70.5,0.13,69.6
2018-05-02 03:30:00+00:00,47.8,,76,0.13,69.7
2018-05-02 04:00:00+00:00,47.85,,77.5,0.13,69.7
2018-05-02 04:30:00+00:00,47.05,,79.5,0.13,69.75
2018-05-02 05:00:00+00:00,49.85,,94,0.13,69.75
2018-05-02 05:30:00+00:00,46.6,,76,0.13,69.7
2018-05-02 06:00:00+00:00,48.15,,88,0.13,69.8
2018-05-02 06:30:00+00:00,48.7,,78.5,0.13,69.8
2018-05-02 07:00:00+00:00,48.8,,86.5,0.13,69.8
2018-05-02 07:30:00+00:00,47.95,,72,0.13,69.85
2018-05-02 08:00:00+00:00,47.45,,92,0.13,69.9
2018-05-02 08:30:00+00:00,48.1,,79,0.13,69.9
2018-05-02 09:00:00+00:00,49.55,,87.5,0.13,69.9
2018-05-02 09:30:00+00:00,50.15,,97,0.13,70
2018-05-02 10:00:00+00:00,50.95,,101.5,0.13,70.05
2018-05-02 10:30:00+00:00,51.55,,94,0.13,70.05
2018-05-02 11:00:00+00:00,52.4,,91,0.13,70.1
2018-05-02 11:30:00+00:00,52.25,,78,0.13,70.1
2018-05-02 12:00:00+00:00,54.3,,81,0.13,70.2
2018-05-02 12:30:00+00:00,51.85,,86.5,0.13,70.35
2018-05-02 13:00:00+00:00,53.2,,107.5,0.13,70.55
2018-05-02 13:30:00+00:00,53.5,,84.5,0.13,70.4
2018-05-02 14:00:00+00:00,54.3,,90,0.13,70.2
2018-05-02 14:30:00+00:00,54.05,,77.5,0.13,70.05
2018-05-02 15:00:00+00:00,54.65,,88.5,0.13,70
2018-05-02 15:30:00+00:00,54.15,,97,0.13,70.2
2018-05-02 16:00:00+00:00,54.1,,96.5,0.13,70.15
2018-05-02 16:30:00+00:00,54.05,,96.5,0.13,70.15
2018-05-02 17:00:00+00:00,53.4,,101.5,0.13,70.35
2018-05-02 17:30:00+00:00,53.6,,96,0.13,70.3
2018-05-02 18:00:00+00:00,53.25,,101.5,0.13,70.3
2018-05-02 18:30:00+00:00,52.8,,90.5,0.13,70.1
2018-05-02 19:00:00+00:00,51.4,,85.5,0.13,69.95
2018-05-02 19:30:00+00:00,51.75,,83,0.13,69.9
2018-05-02 20:00:00+00:00,51.45,,84.5,0.13,69.75
2018-05-02 20:30:00+00:00,51.2,,79.5,0.13,69.8
2018-05-02 21:00:00+00:00,50.6,,76,0.13,69.7
2018-05-02 21:30:00+00:00,49.85,,71,0.13,69.75
2018-05-02 22:00:00+00:00,47.95,,89.5,0.13,69.65
2018-05-02 22:30:00+00:00,49.2,,79.5,0.13,69.45
2018-05-02 23:00:00+00:00,49.9,,86,0.13,69.45
2018-05-02 23:30:00+00:00,49.3,,77.5,0.13,69.35
2018-05-03 00:00:00+00:00,48.25,,78.5,0.13,69.35
2018-05-03 00:30:00+00:00,47.65,,90,0.13,69.35
2018-05-03 01:00:00+00:00,47.2,,81.5,0.13,69.4
2018-05-03 01:30:00+00:00,46.8,,78,0.13,69.45
2018-05-03 02:00:00+00:00,48.3,,80.5,0.13,69.35
2018-05-03 02:30:00+00:00,46.7,,77,0.13,69.35
2018-05-03 03:00:00+00:00,46.75,,80.5,0.13,69.4
2018-05-03 03:30:00+00:00,46.7,,80,0.13,69.45
2018-05-03 04:00:00+00:00,46.45,,83,0.13,69.5
2018-05-03 04:30:00+00:00,46,,83,0.13,69.6
2018-05-03 05:00:00+00:00,47.7,,90.5,0.13,69.8
2018-05-03 05:30:00+00:00,48.3,,78,0.13,69.9
2018-05-03 06:00:00+00:00,48,,89.5,0.13,69.9
